ome	zstar	zpr	zppr	zC
0.21674416223237697	242.14097499176395	241.7663946215841	13.46336516783668	(241.7663946215841+13.46336516783668j)
0.19868214875786974	241.63915202468164	241.20696970125368	14.445676126291115	(241.20696970125368+14.445676126291115j)
0.18339890658076255	241.14602475032655	240.65257230381573	15.418971964493856	(240.65257230381573+15.418971964493856j)
0.17029898471002294	240.65979654521138	240.1016293973189	16.381246409692682	(240.1016293973189+16.381246409692682j)
0.158945719085245	240.17887801943763	239.55285038226057	17.32989672243287	(239.55285038226057+17.32989672243287j)
0.14901161166092092	239.70300309251508	239.00599874281298	18.266424294885248	(239.00599874281298+18.266424294885248j)
0.1324547659482315	238.76149925173067	237.9146996032227	20.091023807723197	(237.9146996032227+20.091023807723197j)
0.11920928937314564	237.82919652606728	236.8242038332093	21.84086076603342	(236.8242038332093+21.84086076603342j)
0.10837208126299483	236.9059262269625	235.7354311384818	23.52072251035443	(235.7354311384818+23.52072251035443j)
0.09934107450229297	235.9903152550132	234.6486339160248	25.128619052862657	(234.6486339160248+25.128619052862657j)
0.09169945339549114	235.08207157990273	233.56479718913155	26.665818800448694	(233.56479718913155+26.665818800448694j)
0.08514949244564192	234.18107728173572	232.48498216871852	28.133787922086114	(232.48498216871852+28.133787922086114j)
0.07947285962157169	233.28745769493418	231.4103228852984	29.534731755809865	(231.4103228852984+29.534731755809865j)
